RAW 390 person  Left=1304, Top=736, Right=1327, Bottom=784

RAW 391 person  Left=1303, Top=735, Right=1328, Bottom=787

RAW 392 person  Left=1305, Top=736, Right=1325, Bottom=780

RAW 393 person  Left=1302, Top=737, Right=1322, Bottom=784

RAW 394 person  Left=1299, Top=738, Right=1324, Bottom=785

RAW 395 person  Left=1301, Top=737, Right=1322, Bottom=782

RAW 396 person  Left=1301, Top=735, Right=1321, Bottom=783

RAW 397 person  Left=1300, Top=736, Right=1319, Bottom=784

RAW 398 person  Left=1300, Top=736, Right=1317, Bottom=783

RAW 399 person  Left=1298, Top=735, Right=1316, Bottom=782

RAW 400 person  Left=1295, Top=735, Right=1313, Bottom=782

RAW 401 person  Left=1294, Top=736, Right=1311, Bottom=781

RAW 402 person  Left=1290, Top=733, Right=1311, Bottom=783

RAW 403 person  Left=1290, Top=732, Right=1311, Bottom=783

RAW 404 person  Left=1290, Top=734, Right=1310, Bottom=783

RAW 405 person  Left=1289, Top=733, Right=1310, Bottom=786

RAW 406 person  Left=1289, Top=734, Right=1309, Bottom=783

RAW 407 person  Left=1288, Top=733, Right=1307, Bottom=778

RAW 408 person  Left=1288, Top=734, Right=1307, Bottom=778

RAW 409 person  Left=1285, Top=733, Right=1306, Bottom=779

RAW 410 person  Left=1280, Top=733, Right=1306, Bottom=781

RAW 411 person  Left=1279, Top=730, Right=1304, Bottom=783

RAW 412 person  Left=1277, Top=729, Right=1305, Bottom=782

RAW 413 person  Left=1278, Top=733, Right=1304, Bottom=779

RAW 414 person  Left=1279, Top=731, Right=1300, Bottom=778

RAW 415 person  Left=1276, Top=734, Right=1296, Bottom=776

RAW 416 person  Left=1276, Top=729, Right=1295, Bottom=780

RAW 417 person  Left=1276, Top=731, Right=1296, Bottom=779

RAW 418 person  Left=1275, Top=730, Right=1294, Bottom=777

RAW 419 person  Left=1277, Top=726, Right=1295, Bottom=784

RAW 420 person  Left=1275, Top=727, Right=1295, Bottom=778

RAW 421 person  Left=1275, Top=728, Right=1295, Bottom=776

RAW 422 person  Left=1274, Top=729, Right=1293, Bottom=777

RAW 423 person  Left=1274, Top=728, Right=1292, Bottom=778

RAW 424 person  Left=1271, Top=727, Right=1289, Bottom=778

RAW 425 person  Left=1268, Top=727, Right=1286, Bottom=778

RAW 426 person  Left=1266, Top=728, Right=1286, Bottom=777

RAW 427 person  Left=1264, Top=730, Right=1286, Bottom=775

RAW 428 person  Left=1263, Top=728, Right=1284, Bottom=773

RAW 429 person  Left=1261, Top=730, Right=1286, Bottom=777

RAW 430 person  Left=1262, Top=729, Right=1284, Bottom=771

RAW 431 person  Left=1262, Top=729, Right=1284, Bottom=771

RAW 432 person  Left=1260, Top=730, Right=1284, Bottom=773

RAW 433 person  Left=1257, Top=729, Right=1282, Bottom=774

RAW 434 person  Left=1259, Top=726, Right=1280, Bottom=771

RAW 435 person  Left=1259, Top=724, Right=1280, Bottom=771

RAW 436 person  Left=1259, Top=726, Right=1278, Bottom=769

RAW 437 person  Left=1257, Top=727, Right=1279, Bottom=771

RAW 438 person  Left=1256, Top=726, Right=1277, Bottom=769

RAW 440 person  Left=1254, Top=725, Right=1276, Bottom=770

RAW 444 person  Left=1248, Top=712, Right=1272, Bottom=765

RAW 445 person  Left=1249, Top=716, Right=1269, Bottom=762

RAW 446 person  Left=1247, Top=723, Right=1267, Bottom=770

RAW 447 person  Left=1243, Top=726, Right=1266, Bottom=769

RAW 448 person  Left=1241, Top=725, Right=1264, Bottom=769

RAW 449 person  Left=1241, Top=724, Right=1264, Bottom=769

