RAW 396 person  Left=859, Top=552, Right=878, Bottom=609

RAW 397 person  Left=1079, Top=548, Right=1121, Bottom=620

RAW 398 person  Left=1080, Top=546, Right=1125, Bottom=621

RAW 399 person  Left=1081, Top=546, Right=1125, Bottom=621

RAW 400 person  Left=1079, Top=551, Right=1125, Bottom=621

RAW 401 person  Left=1087, Top=583, Right=1123, Bottom=623

RAW 402 person  Left=1089, Top=583, Right=1123, Bottom=624

RAW 403 person  Left=1098, Top=573, Right=1131, Bottom=624

RAW 403 person  Left=858, Top=553, Right=879, Bottom=612

